year,journal,doi,title,affiliation_cntr,studysite,appl_domaine,application,platform,sensor_type,m_misc,m_ge,m_wv,m_wv1,m_vw2,m_vw3,m_vw4,m_landsat5,m_landsat7,m_landsat8,m_modis,m_aster,m_jl1,m_gf1,m_gf2,m_s2,m_quickbird,m_spot5,m_spot6,m_rapideye,m_ikonos,m_zy3,m_ps_dove,m_pleiades,m_geoeye1,m_superview,m_terrasarx,m_s1,m_gf3,m_tandemx,m_radarsat1,m_radarsat2,m_alospalsar,m_ers2,m_envisat_asar,task,arch_group,architecture,arch_family,conv_backbone,backbone_family,dl_framework,keras_backend,ds_custom,ds_misc,ds_isprs_potsdam,ds_isprs_vaihingen,ds_ieee_zeebruges,ds_lcz42,ds_hrsc2016,ds_munich3k,ds_busy_parking_lot,ds_aeriallanes18,ds_vedai,ds_dg_roads,ds_ma_roads,ds_ma_building,ds_cheng_roads,ds_dota,ds_nwpuvhr10,ds_nwpuresisc45,ds_zhang_aircraft,ds_sn_building,ds_gid,ds_inria,ds_whubuilding_aer,ds_whu_building_sat,ds_whu_rsone,ds_ucas_aod,ds_ssdd,ds_opensarship,ds_soris,ds_oirds,ds_airuvsar,ds_rsod,ds_eurosat,ds_deepsat,ds_roadtracer
2019,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2018.2888887,Scale Adaptive Proposal Network for Object Detection in Remote Sensing Images,China,Multilocal,multi-class object detection,multi-class object detection,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Faster R-CNN,R-CNN,ResNet-101,ResNet,Caffe,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2018.2882778,Detection of Multiclass Objects in Optical Remote Sensing Images,USA,Multilocal,multi-class object detection,multi-class object detection,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,One stage detector,YOLO-V2,YOLO,DarkNet-19,DarkNet,Pytorch,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2019.2904076,Remote Sensing Airport Detection Based on End-to-End Deep Transferable Convolutional Neural Networks,China,Multilocal,transportation,airport,Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Cascade R-CNN,R-CNN,VGG-16,Vintage,Caffe,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2019.2909541,Improved Faster R-CNN With Multiscale Feature Fusion and Homography Augmentation for Vehicle Detection in Remote Sensing Images,China,Multilocal,transportation,car,Aircraft,Optical + Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Faster R-CNN,R-CNN,ResNet-50,ResNet,Caffe2,NA,NA,,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2019.2956513,DAGN: A Real-Time UAV Remote Sensing Image Vehicle Detection Framework,China,Multilocal,transportation,car,Aircraft,Optical,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,One stage detector,YOLO-V3,YOLO,ResNet,ResNet,Pytorch,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2018.2882551,Squeeze and Excitation Rank Faster R-CNN for Ship Detection in SAR Images,China,Not specified,transportation,ship,Satellite,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Faster R-CNN,R-CNN,VGG,Vintage,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2019.2954199,Finding Arbitrary-Oriented Ships From Remote Sensing Images Using Corner Detection,China,Not specified,transportation,ship,Satellite,Optical,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,custom,custom,ResNet,ResNet,Pytorch,NA,NA,Airbus Ship Detection kaggle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2956650,PolSARNet: A Deep Fully Convolutional Network for Polarimetric SAR Image Classification,Netherlands,Netherlands,agriculture,multiple crop types,Aircraft + Satellite,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,IS,patch based,custom,custom,custom,custom,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2925841,A Novel Deep Structure U-Net for Sea-Land Segmentation in Remote Sensing Images,China,Multilocal,general LCLU,waterbody,Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,DenseNet,ResNet,Keras,TensorFlow,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2924582,Transferable Object-Based Framework Based on Deep Convolutional Neural Networks for Building Extraction,Iran,Multilocal,settlement,building foortprint,Aircraft + Satellite,Multispectral,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,InceptionResNet-V2,ResNet,Inception-ResNet-V2,ResNet,NA,NA,NA,IU-BDVHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2930724,High-Resolution Aerial Images Semantic Segmentation Using Deep Fully Convolutional Network With Channel Attention Mechanism,Canada,Germany,settlement,urban VHR feature extraction,Aircraft,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,ResNet-101,ResNet,Keras,TensorFlow,NA,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2906387,Densely Based Multi-Scale and Multi-Modal Fully Convolutional Networks for High-Resolution Remote-Sensing Image Semantic Segmentation,China,Germany,settlement,urban VHR feature extraction,Aircraft,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,DenseNet,ResNet,Pytorch,NA,NA,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2924086,Cascaded Detection Framework Based on a Novel Backbone Network and Feature Fusion,China,Multilocal,multi-class object detection,multi-class object detection,Aircraft,Optical,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Cascade R-CNN,R-CNN,DetNet-59,ResNet,NA,NA,NA,,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2919382,Geospatial Object Detection via Deconvolutional Region Proposal Network,China,Multilocal,multi-class object detection,multi-class object detection,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Faster R-CNN,R-CNN,VGG-16,Vintage,TensorFlow,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2019.2933501,EOVNet: Earth-Observation Image-Based Vehicle Detection Network,China,Multilocal,transportation,car,Aircraft + Satellite,Optical + Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Faster R-CNN,R-CNN,ResNet-50,ResNet,Caffe,NA,NA,,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2919472,Full-Waveform Airborne LiDAR Data Classification Using Convolutional Neural Networks,Austria,Not specified,general LCLU,general LCLU,Aircraft,LiDAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,custom,custom,Keras,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2018.2858817,Fully Convolutional Networks for Multisource Building Extraction From an Open Aerial and Satellite Imagery Data Set,China,Asia,settlement,building foortprint,Aircraft + Satellite,Optical,,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,custom,custom,Keras,TensorFlow,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2018.2864716,Buildings Detection in VHR SAR Images Using Fully Convolution Neural Networks,Austria,Germany,settlement,building foortprint,Satellite,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,FCN-8s,FCN,VGG-16,Vintage,Caffe,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2913861,Dynamic Multicontext Segmentation of Remote Sensing Images Based on Convolutional Networks,Brazil,Multilocal,settlement,urban VHR feature extraction,Aircraft + Satellite,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,custom,custom,custom,custom,TensorFlow,NA,NA,GRSS data fusion,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2912301,Road Detection and Centerline Extraction Via Deep Recurrent Convolutional Neural Network U-Net,China,Multilocal,transportation,road network,Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,ResNet,ResNet,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2018.2878510,Aerial LaneNet: Lane-Marking Semantic Segmentation in Aerial Imagery Using Wavelet-Enhanced Cost-Sensitive Symmetric Fully Convolutional Neural Networks,Germany,Germany,transportation,road network,Aircraft,Optical,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,FCN,FCN,ResNet-101,ResNet,TensorFlow,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2926397,Multi-Scale and Multi-Task Deep Learning Framework for Automatic Road Extraction,China,USA,transportation,road network,Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,Inception-V1,Inception,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2018.2870871,RoadNet: Learning to Comprehensively Analyze Road Networks in Complex Urban Scenes From High-Resolution Remotely Sensed Images,China,Canada,transportation,road network,Aircraft,Optical,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,custom,custom,custom,VGG-16,Vintage,TensorFlow,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2900302,Hierarchical and Robust Convolutional Neural Network for Very High-Resolution Remote Sensing Object Detection,China,Multilocal,multi-class object detection,multi-class object detection,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Fast R-CNN,R-CNN,AlexNet,Vintage,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2899955, $\mathcal{R}^2$ -CNN: Fast Tiny Object Detection in Large-Scale Remote Sensing Images,China,Multilocal,multi-class object detection,multi-class object detection,Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,custom,custom,custom,custom,Caffe,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2930982,CAD-Net: A Context-Aware Detection Network for Objects in Remote Sensing Imagery,China,Multilocal,multi-class object detection,multi-class object detection,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Faster R-CNN,R-CNN,ResNet-101,ResNet,Pytorch,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2954328,FMSSD: Feature-Merged Single-Shot Detection for Multiscale Objects in Large-Scale Remote Sensing Imagery,China,Multilocal,multi-class object detection,multi-class object detection,Aircraft + Satellite,Optical,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,One stage detector,SSD,SSD,VGG-16,Vintage,Pytorch,NA,NA,AIR-OBJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2019.2895362,R3-Net: A Deep Network for Multioriented Vehicle Detection in Aerial Images and Videos,China,Multilocal,transportation,car,Aircraft,Optical + Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OD,Two stage detector,R-FCN,R-CNN,ResNet-101,ResNet,Caffe2,NA,NA,,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2018.2889353,Learning Deep Ship Detector in SAR Images From Scratch,China,Multilocal,transportation,ship,Satellite,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,OD,Two stage detector,Faster R-CNN,R-CNN,DenseNet,ResNet,Caffe,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8899103,Dual-Channel Convolutional Neural Network for Polarimetric SAR Images Classification,China,Netherlands,agriculture,multiple crop types,Aircraft,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,custom,custom,Inception-V3,Inception,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8900292,Densely Connected Convolutional Neural Network Based Polarimetric SAR Image Classification,China,Netherlands,agriculture,multiple crop types,Aircraft,SAR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,DenseNet-20,ResNet,DenseNet-20,ResNet,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8897979,Towards Automated Delineation of Smallholder Farm Fields From VHR Images Using Convolutional Networks,Netherlands,Nigeria,agriculture,farmland mapping,Satellite,Optical,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,SegNet,SegNet,VGG-16,Vintage,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8897867,Cropland Mapping in Fragmented Agricultural Landscape Using Modified Pyramid Scene Parsing Network,China,China,agriculture,farmland mapping,Satellite,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Naive-decoder,PSPNet,PSPNet,ResNet-50,ResNet,Caffe,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8900323,Deep Learning Model for Water/Ice/Land Classification Using Large-Scale Medium Resolution Satellite Images,Japan,Multilocal,cryosphere,snow,Satellite,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,custom,custom,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8898705,A Fast and Precise Method for Large-Scale Land-Use Mapping Based on Deep Learning,China,China,general LCLU,general LCLU,Satellite,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Naive-decoder,PSPNet,PSPNet,ResNet-50,ResNet,Pytorch,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8898874,Identify Urban Area From Remote Sensing Image Using Deep Learning Method,China,China,general LCLU,built-up areas,Satellite,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,patch based,custom,custom,custom,custom,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IGARSS,10.1109/IGARSS.2019.8899798,Buildings Extraction from Remote Sensing Data Using Deep Learning Method Based on Improved U-Net Network,China,China,general LCLU,built-up areas,Satellite,Multispectral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,Encoder-decoder,U-Net,U-Net,ResNet,ResNet,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
